Variable,Moran_I,p_value,z_score
LST_p50_mean,0.7734126056174677,0.001,54.6350527005173
LST_p50_pop_weighted,0.7422489738164771,0.001,55.239807453964495
NDVI_p50_mean,0.7918081475570758,0.001,58.90520707240212
NDVI_p50_pop_weighted,0.5659822178620565,0.001,41.77697780970339
NDBI_p50_mean,0.8342434152334431,0.001,61.6092728167813
NDBI_p50_pop_weighted,0.40203169582414805,0.001,30.205688135798358
